Model,Accuracy,Precision_macro,Recall_macro,F1_macro,Params,Model_Path
MobileNetV3Small_SE,0.9872084273890143,0.9863631077891688,0.9867947549047956,0.9864571092513765,1025020,/content/drive/MyDrive/CV/plant_results/saved_models/MobileNetV3Small_SE.keras
MobileNetV3Small_CBAM,0.9804364183596689,0.98078613004975,0.9802748352718782,0.9804618691899056,1025119,/content/drive/MyDrive/CV/plant_results/saved_models/MobileNetV3Small_CBAM.keras
MobileNetV3Small_baseline,0.9706546275395034,0.96663676012143,0.9714383868933162,0.9686911811105171,941428,/content/drive/MyDrive/CV/plant_results/saved_models/MobileNetV3Small_baseline.keras
