Model,Accuracy,Precision_macro,Recall_macro,F1_macro,Params,Model_Path
ResNet50_baseline,0.9962377727614748,0.9950275134701364,0.996701823123744,0.9958445467292154,23595908,/content/drive/MyDrive/CV/plant_results/saved_models/ResNet50_baseline.keras
EfficientNetB0_baseline,0.9909706546275396,0.9897433328907655,0.991578568446658,0.9906080653065612,4054695,/content/drive/MyDrive/CV/plant_results/saved_models/EfficientNetB0_baseline.keras
EfficientNetB0_CBAM,0.9879608728367192,0.9869218562548469,0.9882739081679124,0.9875472329583947,4465834,/content/drive/MyDrive/CV/plant_results/saved_models/EfficientNetB0_CBAM.keras
MobileNetV3Small_SE,0.9872084273890144,0.9863631077891688,0.9867947549047956,0.9864571092513764,1025020,/content/drive/MyDrive/CV/plant_results/saved_models/MobileNetV3Small_SE.keras
MobileNetV3Small_CBAM,0.9804364183596688,0.98078613004975,0.9802748352718782,0.9804618691899056,1025119,/content/drive/MyDrive/CV/plant_results/saved_models/MobileNetV3Small_CBAM.keras
MobileNetV3Small_baseline,0.9706546275395034,0.96663676012143,0.9714383868933162,0.9686911811105172,941428,/content/drive/MyDrive/CV/plant_results/saved_models/MobileNetV3Small_baseline.keras
